127.0.0.1 - - [19/Jan/2021:09:07:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:07:30 +0900] "GET /UI02_CSS/ HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:07:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:07:31 +0900] "GET /UI02_CSS/css07_box.html HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:10:50 +0900] "GET /UI02_CSS/css07_box.html HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:44:23 +0900] "GET /UI02_CSS/ HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:44:23 +0900] "GET /UI02_CSS/css08_float.html HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:44:48 +0900] "GET /UI02_CSS/css08_float.html HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:47:13 +0900] "GET /UI02_CSS/css08_float.html HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:58:41 +0900] "GET /UI02_CSS/css06_background.html HTTP/1.1" 200 1927
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:58:41 +0900] "GET /UI02_CSS/resources/img/img01.png HTTP/1.1" 200 15179
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:58:41 +0900] "GET /UI02_CSS/resources/img/img02.png HTTP/1.1" 200 8968
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:58:43 +0900] "GET /UI02_CSS/css07_box.html HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:59:25 +0900] "GET /UI02_CSS/css07_box.html HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [19/Jan/2021:09:59:36 +0900] "GET /UI02_CSS/css07_box.html HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:08:26 +0900] "GET /UI02_CSS/css08_float.html HTTP/1.1" 200 2651
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:08:36 +0900] "GET /UI02_CSS/css08_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:08:37 +0900] "GET /UI02_CSS/css08_float.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:17:11 +0900] "GET /UI02_CSS/ HTTP/1.1" 200 798
