127.0.0.1 - - [27/Mar/2021:09:44:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:44:22 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:44:22 +0900] "GET /JQ/resources/js/jsquery-3.5.1.min/js HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:44:22 +0900] "GET /JQ/resources/image/img01.png HTTP/1.1" 200 41769
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:44:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:45:05 +0900] "GET /JQ/index.html HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:45:06 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:45:06 +0900] "GET /JQ/resources/js/jsquery-3.5.1.min/js HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:45:16 +0900] "GET /JQ/jq02_selector01.html HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:45:18 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:45:18 +0900] "GET /JQ/resources/js/jsquery-3.5.1.min/js HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:46:54 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:46:54 +0900] "GET /JQ/resources/js/jquery-3.5.1.min/js HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:47:09 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:47:09 +0900] "GET /JQ/resources/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:47:43 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:48:06 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 200 1535
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:48:06 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:48:06 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:48:13 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:48:31 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 200 1522
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:48:31 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Mar/2021:09:50:02 +0900] "GET /JQ/jq01_start.html HTTP/1.1" 200 1580
